bikepoint_id,terminal_name,station_name,lat,lon,capacity,installed,locked,temporary,terminal_num
132,000973,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38,true,false,false,973
133,003436,"Derry Street, Kensington",51.501364,-0.191462,18,true,false,false,3436
134,001039,"Wapping High Street, Wapping",51.504904,-0.06797,20,true,false,false,1039
135,001053,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21,true,false,false,1053
136,001048,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,32,true,false,false,1048
138,003464,"Green Street, Mayfair",51.512276,-0.157436,19,true,false,false,3464
139,001078,"Lambeth Road, Vauxhall",51.494881,-0.117974,18,true,false,false,1078
140,001056,"Finsbury Square , Moorgate",51.520962,-0.085634,33,true,false,false,1056
141,001003,"Chapel Place, Marylebone",51.515308,-0.147203,29,true,false,false,1003
142,001001,"West Cromwell Road, Earl's Court",51.493724,-0.198286,24,true,false,false,1001
143,001114,"Pont Street, Knightsbridge",51.496886,-0.161203,24,true,false,false,1114
144,001093,"Kennington Cross, Kennington",51.48894,-0.111435,47,true,false,false,1093
145,001115,"Ilchester Place, Kensington",51.500743,-0.202759,24,true,false,false,1115
146,001046,"Vauxhall Bridge , Pimlico",51.488365,-0.129361,35,true,false,false,1046
147,003456,"Portugal Street, Holborn",51.514943,-0.116146,16,true,false,false,3456
148,000965,"Tachbrook Street, Victoria",51.492111,-0.138364,16,true,false,false,965
149,001073,"Kennington Road Post Office, Oval",51.484788,-0.110683,18,true,false,false,1073
150,001002,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,28,true,false,false,1002
151,001120,"Chepstow Villas, Notting Hill",51.512136,-0.201554,26,true,false,false,1120
152,001118,"Hampton Street, Walworth",51.49217,-0.101536,21,true,false,false,1118
153,001096,"Bayswater Road, Hyde Park",51.511933,-0.174411,27,true,false,false,1096
154,001072,"Waterloo Station 3, Waterloo",51.503791,-0.112824,35,true,false,false,1072
155,001121,"Lexham Gardens, Kensington",51.495866,-0.191933,19,true,false,false,1121
156,000966,"New Kent Road, The Borough",51.494436,-0.092921,33,true,false,false,966
157,001094,"Wright's Lane, Kensington",51.500397,-0.193068,37,true,false,false,1094
158,001113,"Trebovir Road, Earl's Court",51.490853,-0.19617,18,true,false,false,1113
160,003458,"Waterloo Place, St. James's",51.506633,-0.131773,20,true,false,false,3458
162,001123,"Southampton Place, Holborn",51.517606,-0.121328,20,true,false,false,1123
163,003461,"Sloane Avenue, Knightsbridge",51.493184,-0.167894,27,true,false,false,3461
164,001178,"Cleveland Gardens, Bayswater",51.515607,-0.183118,16,true,false,false,1178
165,002585,"Orsett Terrace, Bayswater",51.517932,-0.183716,15,true,false,false,2585
166,001177,"Seville Street, Knightsbridge",51.501855,-0.159237,27,true,false,false,1177
167,003465,"Eccleston Place, Victoria",51.49395,-0.147624,19,true,false,false,3465
168,003463,"Argyll Road, Kensington",51.500401,-0.195455,19,true,false,false,3463
169,003477,"Porchester Place, Paddington",51.514746,-0.165164,18,true,false,false,3477
170,001057,"Hardwick Street, Clerkenwell",51.527842,-0.108068,30,true,false,false,1057
171,003459,"Collingham Gardens, Earl's Court",51.491615,-0.186753,14,true,false,false,3459
172,001124,"Sumner Place, South Kensington",51.491211,-0.173715,19,true,false,false,1124
173,001176,"Waterloo Road, South Bank",51.50486,-0.113001,15,true,false,false,1176
175,000997,"Worship Street, Shoreditch",51.521668,-0.079608,51,true,false,false,997
176,001173,"Gloucester Terrace, Bayswater",51.517919,-0.188098,23,true,false,false,1173
177,001122,"Ashley Place, Victoria",51.49616,-0.140947,25,true,false,false,1122
178,003460,"Warwick Square, Pimlico",51.489856,-0.141923,19,true,false,false,3460
180,001126,"North Audley Street, Mayfair",51.512911,-0.153645,17,true,false,false,1126
181,003473,"Belgrave Square, Belgravia",51.499412,-0.152317,21,true,false,false,3473
182,001166,"Bell Street , Marylebone",51.522029,-0.165842,18,true,false,false,1166
183,001165,"Riverlight North, Nine Elms",51.482362,-0.136123,24,true,false,false,1165
184,001164,"Portland Place, Marylebone",51.520715,-0.145211,34,true,false,false,1164
185,001174,"Alderney Street, Pimlico",51.488057,-0.140741,14,true,false,false,1174
186,001167,"South Wharf Road, Paddington",51.517335,-0.17581,16,true,false,false,1167
187,001172,"Queen's Gate (South), South Kensington",51.492479,-0.178433,25,true,false,false,1172
188,001112,"Nutford Place, Marylebone",51.516517,-0.164393,18,true,false,false,1112
189,001104,"Claremont Square, Angel",51.531666,-0.109914,18,true,false,false,1104
190,001106,"Rampayne Street, Pimlico",51.489975,-0.132845,21,true,false,false,1106
191,001075,"Hyde Park Corner, Hyde Park",51.503117,-0.15352,36,true,false,false,1075
192,001163,"Wardour Street, Soho",51.512515,-0.133201,16,true,false,false,1163
193,000963,"Bankside Mix, Bankside",51.505817,-0.100186,60,true,false,false,963
194,000960,"Hop Exchange, The Borough",51.504627,-0.091773,55,true,false,false,960
195,000959,"Milroy Walk, South Bank",51.507244,-0.106237,30,true,false,false,959
196,000961,"Union Street, The Borough",51.503688,-0.098497,17,true,false,false,961
197,000962,"Stamford Street, South Bank",51.505569,-0.111606,27,true,false,false,962
199,001080,"Great Tower Street, Monument",51.510484,-0.082989,24,true,false,false,1080
200,001105,"LMU Commercial Road, Whitechapel",51.514924,-0.066078,14,true,false,false,1105
201,001162,"Dorset Square, Marylebone",51.522596,-0.161113,16,true,false,false,1162
202,001102,"Leman Street, Aldgate",51.512363,-0.069542,37,true,false,false,1102
203,001040,"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15,true,false,false,1040
204,003468,"Margery Street, Clerkenwell",51.526599,-0.112432,19,true,false,false,3468
206,001171,"New Road 1 , Whitechapel",51.518154,-0.062697,36,true,false,false,1171
207,001169,"Grosvenor Crescent, Belgravia",51.501352,-0.153194,18,true,false,false,1169
208,001175,"Mallory Street, Marylebone",51.525051,-0.166304,20,true,false,false,1175
209,003454,"Denyer Street, Knightsbridge",51.493583,-0.165101,30,true,false,false,3454
210,003476,"Hinde Street, Marylebone",51.516814,-0.151926,21,true,false,false,3476
211,003469,"Cadogan Place, Knightsbridge",51.494645,-0.158105,34,true,false,false,3469
212,003487,"Campden Hill Road, Notting Hill",51.506584,-0.199004,17,true,false,false,3487
